	name	wiki	city	city_wiki	country	country_wiki	visitors	city_population	urban_population	longitude	latitude	museum_type
46	National Museum of Anthropology	National_Museum_of_Anthropology_(Mexico)	Mexico City	Mexico_City	Mexico	Mexico	1494587	9209944		19.42611	-99.18611	Archaeology museum
47	National Museum of History	Museo_Nacional_de_Historia	Mexico City	Mexico_City	Mexico	Mexico	1486379	9209944				History museum
48	National Air and Space Museum	National_Air_and_Space_Museum	Washington, D.C.	Washington,_D.C.	United States	United_States	1486000	689545	5174759.0	38.888	-77.020	Aviation museum
49	Kaohsiung Museum of Fine Arts	Kaohsiung_Museum_of_Fine_Arts	Kaohsiung	Kaohsiung	Taiwan	Taiwan	1461406	2737660		22.656444	120.286278	Art museum
50	Acropolis Museum	Acropolis_Museum	Athens	Athens	Greece	Greece	1451727	643452	3059764.0	37.969108	23.728299	Archaeological Museum
51	China Science and Technology Museum	China_Science_and_Technology_Museum	Beijing	Beijing	China	China	1431189	21893095	21893095.0	40.00472	116.39222	Science museum
52	Galleria dell'Accademia	Galleria_dell'Accademia	Florence	Florence	Italy	Italy	1428369	367150		43.77694	11.25889	Art museum
53	Suzhou Museum	Suzhou_Museum	Suzhou	Suzhou	China	China	1417412	12748252	6715559.0	31.3229	120.6278	
54	Chengdu Museum	Chengdu_Museum	Chengdu	Chengdu	China	China	1404735	20937757	15419445.0	30.66375	104.04459	City museum
55	Shanghai Science and Technology Museum	Shanghai_Science_and_Technology_Museum	Shanghai	Shanghai	China	China	1403179	26875500				
56	The National Art Center, Tokyo	The_National_Art_Center,_Tokyo	Tokyo	Tokyo	Japan	Japan	1400096	14094034	39105000.0			
57	Louis Vuitton Foundation	Louis_Vuitton_Foundation	Paris	Paris	France	France	1398525	2102650	10858852.0	48.87667	2.26333	
58	Tokyo National Museum	Tokyo_National_Museum	Tokyo	Tokyo	Japan	Japan	1372132	14094034	39105000.0	35.71889	139.77639	Art museum
59	National Museum, Krakow	National_Museum,_Krakow	Krakow	Krakow	Poland	Poland	1365425	804237		50.06028	19.92389	National museum
60	Centro Cultural Banco do Brasil	Centro_Cultural_Banco_do_Brasil	São Paulo	São_Paulo	Brazil	Brazil	1364208	12400232				
61	Van Gogh Museum	Van_Gogh_Museum	Amsterdam	Amsterdam	Netherlands	Netherlands	1364023	921402	1459402.0	52.35833	4.88111	Art museumNational museum
62	National Museum of Nature and Science	National_Museum_of_Nature_and_Science	Tokyo	Tokyo	Japan	Japan	1350000	14094034	39105000.0	35.715939	139.776527	
63	Kunsthistorisches Museum	Kunsthistorisches_Museum	Vienna	Vienna	Austria	Austria	1345617	2002821	2223236.0	48.20380194	16.36178694	Art museum
64	Tianjin Natural History Museum	Tianjin_Natural_History_Museum	Tianjin	Tianjin	China	China	1320752	13866009	13866009.0	39.085	117.209	Natural History Museum
65	Palacio de Cristal del Retiro	Palacio_de_Cristal_del_Retiro	Madrid	Madrid	Spain	Spain	1318823	3223334	6211000.0			Non-movable
66	Guggenheim Museum Bilbao	Guggenheim_Museum_Bilbao	Bilbao	Bilbao	Spain	Spain	1289147	345821	775000.0	43.26861	-2.93389	Art museum
67	Scottish National Gallery	Scottish_National_Gallery	Edinburgh	Edinburgh	United Kingdom	United_Kingdom	1277230	506520	530990.0	55.95083	-3.19556	
68	National Gallery Singapore	National_Gallery_Singapore	Singapore	Singapore	Singapore	Singapore	1262189	5917600		1.2904889	103.8518611	Art museum
69	Museo Reina Sofía	Museo_Nacional_Centro_de_Arte_Reina_Sofía	Madrid	Madrid	Spain	Spain	1253183	3223334	6211000.0	40.4085714306	-3.6939961000	Non-movable
70	Museum of European and Mediterranean Civilisations	Museum_of_European_and_Mediterranean_Civilisations	Marseille	Marseille	France	France	1251030	870321	1618479.0	43.295278	5.361944	National museum of ethnology
